覚える技1,覚える技2,覚える技3,覚える技4,覚える技5,覚える技6,覚える技7,覚える技8,覚える技9,覚える技10,覚える技11,覚える技12,覚える技13,覚える技14,覚える技15,覚える技16,覚える技17,覚える技18,覚える技19,覚える技20,覚える技21,覚える技22,覚える技23,覚える技24,覚える技25,覚える技26,覚える技27,覚える技28,覚える技29,覚える技30,覚える技31,覚える技32,覚える技33,覚える技34,覚える技35,覚える技36,覚える技37,覚える技38,覚える技39,覚える技40,覚える技41,覚える技42,覚える技43,覚える技44,覚える技45,覚える技46,覚える技47,覚える技48,覚える技49,覚える技50,覚える技51,覚える技52,覚える技53,覚える技54,覚える技55,覚える技56,覚える技57,覚える技58,覚える技59,覚える技60,覚える技61,覚える技62,覚える技63,覚える技64,覚える技65,覚える技66,覚える技67,覚える技68,覚える技69,覚える技70,覚える技71,覚える技72,覚える技73,覚える技74,覚える技75,覚える技76,覚える技77,覚える技78,覚える技79,覚える技80,覚える技81,覚える技82,覚える技83,覚える技84,覚える技85,覚える技86,覚える技87,覚える技88,覚える技89,覚える技90,覚える技91,覚える技92,覚える技93,覚える技94,覚える技95,覚える技96,覚える技97,覚える技98,覚える技99,覚える技100,覚える技101,覚える技102,覚える技103,覚える技104,覚える技105,覚える技106,覚える技107,覚える技108,覚える技109,覚える技110,覚える技111,覚える技112,覚える技113,覚える技114,覚える技115,覚える技116,覚える技117,覚える技118,覚える技119,覚える技120,覚える技121,覚える技122,覚える技123,覚える技124,覚える技125,覚える技126,覚える技127,覚える技128,覚える技129,覚える技130,覚える技131,覚える技132,覚える技133,覚える技134,覚える技135,覚える技136,覚える技137,覚える技138,覚える技139,覚える技140,覚える技141,覚える技142,覚える技143,覚える技144,覚える技145,覚える技146,覚える技147,覚える技148,覚える技149,覚える技150,覚える技151,覚える技152,覚える技153,覚える技154,覚える技155,覚える技156,覚える技157,覚える技158,覚える技159,覚える技160,覚える技161,覚える技162,覚える技163,覚える技164,覚える技165,覚える技166,覚える技167,覚える技168,覚える技169
"""はねる""","""みずでっぽう""","""しっぽをふる""","""てだすけ""","""バブルこうせん""","""あまえる""","""たたきつける""","""とびはねる""","""とっしん""","""あまえる""","""うそなき""","""どろかけ""","""まもる""","""からげんき""","""こごえるかぜ""","""マッドショット""","""ドレインキッス""","""こらえる""","""あまごい""","""のしかかり""","""ねごと""","""ひかりのかべ""","""たきのぼり""","""ねむる""","""みがわり""","""ハイパーボイス""","""アンコール""","""なみのり""","""てだすけ""","""れいとうビーム""","""ふぶき""","""テラバースト""","""うたう""","""ちょうおんぱ""","""はらだいこ""","""ほろびのうた""","""プレゼント""","""くすぐる""","""まねっこ""","""アクアジェット""","""みずびたし""","""あわ""","""みずあそび""","""どくどく""","""かげぶんしん""","""いびき""","""いばる""","""メロメロ""","""おんがえし""","""やつあたり""","""アイアンテール""","""めざめるパワー""","""うずしお""","""さわぐ""","""あられ""","""ひみつのちから""","""だくりゅう""","""みずのはどう""","""しぜんのめぐみ""","""ゆうわく""","""りんしょう""","""ねっとう""","""ふるいたてる""","""ないしょばなし""","""ぶんまわす""","""リフレッシュ""","""ほごしょく""","""ずつき""","""すてみタックル""","""ものまね""","""まるくなる""","""スピードスター""","""ころがる""","""はたきおとす""","""ほしがる""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""でんじは""","""スパーク""","""てっぺき""","""いわなだれ""","""パワージェム""","""だいちのちから""","""ほのおのパンチ""","""れいとうパンチ""","""かみなりパンチ""","""10まんボルト""","""ねむる""","""いわなだれ""","""いわくだき""","""だいちのちから""","""ラスターカノン""","""ストーンエッジ""","""ステルスロック""","""じならし""","""パワーシフト""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ねこだまし""","""なきごえ""","""しっぽをふる""","""たいあたり""","""うたう""","""メロメロ""","""チャームボイス""","""みだれひっかき""","""まねっこ""","""しっぺがえし""","""あまえる""","""からげんき""","""ほしがる""","""いやしのすず""","""すてみタックル""","""つぶらなひとみ""","""じゃれつく""","""みずのはどう""","""めいそう""","""ふるいたてる""","""にほんばれ""","""れいとうビーム""","""ふぶき""","""まもる""","""あまごい""","""しんぴのまもり""","""ソーラービーム""","""アイアンテール""","""10まんボルト""","""かみなり""","""あなをほる""","""シャドーボール""","""かげぶんしん""","""でんげきは""","""からげんき""","""ねむる""","""メロメロ""","""チャージビーム""","""こらえる""","""わるだくみ""","""しっぺがえし""","""フラッシュ""","""でんじは""","""じこあんじ""","""ねごと""","""ゆめくい""","""くさむすび""","""いばる""","""みがわり""","""バトンタッチ""","""ねこだまし""","""さわぐ""","""てだすけ""","""ねがいごと""","""うそなき""","""くすぐる""","""コスモパワー""","""とっておき""","""ふいうち""","""しねんのずつき""","""シンプルビーム""","""おうふくビンタ""","""だましうち""","""みやぶる""","""ねこのて""","""めざましビンタ""","""ゆうわく""","""どくどく""","""おんがえし""","""やつあたり""","""めざめるパワー""","""ひみつのちから""","""しぜんのめぐみ""","""りんしょう""","""エコーボイス""","""かたきうち""","""ワイルドボルト""","""ないしょばなし""","""どろばくだん""","""ずつき""","""のしかかり""","""ものまね""","""まるくなる""","""スピードスター""","""いびき""","""どろかけ""","""こごえるかぜ""","""ころがる""","""ハイパーボイス""","""ころがる""","""ネコにこばん""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ねこだまし""","""メロメロ""","""うたう""","""なきごえ""","""しっぽをふる""","""たいあたり""","""チャームボイス""","""みだれひっかき""","""まねっこ""","""しっぺがえし""","""あまえる""","""からげんき""","""ほしがる""","""いやしのすず""","""すてみタックル""","""つぶらなひとみ""","""じゃれつく""","""みずのはどう""","""めいそう""","""ふるいたてる""","""にほんばれ""","""れいとうビーム""","""ふぶき""","""はかいこうせん""","""まもる""","""あまごい""","""しんぴのまもり""","""ソーラービーム""","""アイアンテール""","""10まんボルト""","""かみなり""","""あなをほる""","""シャドーボール""","""かげぶんしん""","""でんげきは""","""からげんき""","""ねむる""","""メロメロ""","""チャージビーム""","""こらえる""","""わるだくみ""","""しっぺがえし""","""ギガインパクト""","""フラッシュ""","""でんじは""","""じこあんじ""","""ねごと""","""ゆめくい""","""くさむすび""","""いばる""","""みがわり""","""かいりき""","""いわくだき""","""バトンタッチ""","""ねこだまし""","""さわぐ""","""てだすけ""","""ねがいごと""","""うそなき""","""くすぐる""","""コスモパワー""","""とっておき""","""ふいうち""","""しねんのずつき""","""シンプルビーム""","""おうふくビンタ""","""だましうち""","""みやぶる""","""ねこのて""","""めざましビンタ""","""ゆうわく""","""どくどく""","""おんがえし""","""やつあたり""","""めざめるパワー""","""ひみつのちから""","""しぜんのめぐみ""","""りんしょう""","""エコーボイス""","""かたきうち""","""ワイルドボルト""","""ないしょばなし""","""どろばくだん""","""ずつき""","""のしかかり""","""ものまね""","""まるくなる""","""スピードスター""","""いびき""","""どろかけ""","""こごえるかぜ""","""ころがる""","""ハイパーボイス""","""じだんだ""","""とぎすます""","""てんしのキッス""","""ころがる""","""ネコにこばん""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""ひっかく""","""おどろかす""","""かげうち""","""ねこだまし""","""かなしばり""","""みきり""","""ナイトヘッド""","""みだれひっかき""","""はたきおとす""","""さきおくり""","""シャドークロー""","""くろいまなざし""","""パワージェム""","""しねんのずつき""","""シャドーボール""","""イカサマ""","""とっしん""","""どろかけ""","""まもる""","""けたぐり""","""サイケこうせん""","""あやしいひかり""","""どろぼう""","""からげんき""","""つばめがえし""","""たたりめ""","""バークアウト""","""メタルクロー""","""こごえるかぜ""","""マッドショット""","""がんせきふうじ""","""ローキック""","""ナイトヘッド""","""なげつける""","""こらえる""","""にほんばれ""","""あまごい""","""あなをほる""","""かわらわり""","""しねんのずつき""","""シャドークロー""","""イカサマ""","""ビルドアップ""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""れいとうパンチ""","""ねごと""","""ドレインパンチ""","""リフレクター""","""ひかりのかべ""","""マジカルシャイン""","""ゆびをふる""","""でんじは""","""どくづき""","""ねむる""","""ちょうはつ""","""ふういん""","""あくのはどう""","""スキルスワップ""","""パワージェム""","""みがわり""","""シザークロス""","""おにび""","""トリック""","""ギガドレイン""","""シャドーボール""","""エナジーボール""","""サイコキネシス""","""アンコール""","""めいそう""","""てだすけ""","""わるだくみ""","""ゴーストダイブ""","""ギガインパクト""","""はかいこうせん""","""テラバースト""","""じこさいせい""","""いちゃもん""","""おだてる""","""フェイント""","""メタルバースト""","""ふいうち""","""だましうち""","""みやぶる""","""おしおき""","""いあいぎり""","""メガトンキック""","""どくどく""","""かげぶんしん""","""ゆめくい""","""フラッシュ""","""いびき""","""いばる""","""メロメロ""","""おんがえし""","""やつあたり""","""めざめるパワー""","""じこあんじ""","""いわくだき""","""きあいパンチ""","""よこどり""","""ひみつのちから""","""でんげきは""","""みずのはどう""","""ジャイロボール""","""しぜんのめぐみ""","""しっぺがえし""","""さしおさえ""","""ゆうわく""","""つめとぎ""","""ワンダールーム""","""テレキネシス""","""りんしょう""","""サイドチェンジ""","""やきつくす""","""かたきうち""","""グロウパンチ""","""ないしょばなし""","""つきのひかり""","""メガトンパンチ""","""ずつき""","""すてみタックル""","""カウンター""","""ちきゅうなげ""","""ものまね""","""うらみ""","""れんぞくぎり""","""いたみわけ""","""ばくれつパンチ""","""なりきり""","""マジックコート""","""シグナルビーム""","""じゅうりょく""","""あやしいかぜ""","""うっぷんばらし""","""ポルターガイスト""","""オクタンほう""","""くすぐる""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""なきごえ""","""おどろかす""","""ようせいのかぜ""","""バトンタッチ""","""かみつく""","""たくわえる""","""のみこむ""","""はきだす""","""ふいうち""","""てっぺき""","""かみくだく""","""あまいかおり""","""アイアンヘッド""","""ちょうはつ""","""うそなき""","""じゃれつく""","""メガトンパンチ""","""メガトンキック""","""れいとうパンチ""","""かみなりパンチ""","""はかいこうせん""","""ギガインパクト""","""ソーラービーム""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""こごえるかぜ""","""メロメロ""","""すなあらし""","""あまごい""","""にほんばれ""","""からげんき""","""てだすけ""","""かわらわり""","""うそなき""","""がんせきふうじ""","""しっぺがえし""","""ダメおし""","""なげつける""","""ガードスワップ""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""ドレインキッス""","""ミストフィールド""","""みねうち""","""ぶんまわす""","""つるぎのまい""","""のしかかり""","""かえんほうしゃ""","""れいとうビーム""","""だいもんじ""","""みがわり""","""ヘドロばくだん""","""こらえる""","""ねごと""","""バトンタッチ""","""かみくだく""","""シャドーボール""","""ちょうはつ""","""てっぺき""","""あくのはどう""","""きあいだま""","""ラスターカノン""","""アイアンヘッド""","""ストーンエッジ""","""ステルスロック""","""くさむすび""","""イカサマ""","""じゃれつく""","""サイコファング""","""たたきつける""","""ちきゅうなげ""","""げんしのちから""","""くすぐる""","""グロウパンチ""","""てっていこうせん""","""はさむ""","""だましうち""","""かいりき""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""じこあんじ""","""いわくだき""","""いちゃもん""","""きあいパンチ""","""ひみつのちから""","""しぜんのめぐみ""","""さしおさえ""","""ゆうわく""","""チャージビーム""","""やきつくす""","""ないしょばなし""","""どくどくのキバ""","""メタルバースト""","""おしおき""","""ずつき""","""すてみタックル""","""カウンター""","""ものまね""","""いかりのまえば""","""どろかけ""","""いたみわけ""","""ばくれつパンチ""","""はたきおとす""","""よこどり""","""とっておき""","""でんじふゆう""","""とぎすます""","""うたう""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""かたくなる""","""メタルクロー""","""がんせきふうじ""","""ほえる""","""ずつき""","""まもる""","""いわなだれ""","""アイアンヘッド""","""きんぞくおん""","""とっしん""","""ボディパージ""","""アイアンテール""","""てっぺき""","""ヘビーボンバー""","""すてみタックル""","""メタルバースト""","""あなをほる""","""いやなおと""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""メロメロ""","""すなあらし""","""あまごい""","""にほんばれ""","""からげんき""","""がんせきふうじ""","""シャドークロー""","""りんしょう""","""じならし""","""のしかかり""","""じしん""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""アイアンテール""","""さわぐ""","""ばかぢから""","""てっぺき""","""だいちのちから""","""アイアンヘッド""","""ステルスロック""","""ヘビーボンバー""","""ボディプレス""","""ふみつけ""","""のろい""","""どろかけ""","""がむしゃら""","""ドラゴンダイブ""","""もろはのずつき""","""アイアンローラー""","""てっていこうせん""","""いあいぎり""","""かいりき""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""でんげきは""","""みずのはどう""","""しぜんのめぐみ""","""ロックカット""","""ゆうわく""","""つめとぎ""","""ないしょばなし""","""きつけ""","""ものまね""","""まるくなる""","""うらみ""","""ころがる""","""れんぞくぎり""","""げんしのちから""","""でんじふゆう""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""かたくなる""","""メタルクロー""","""がんせきふうじ""","""ほえる""","""ずつき""","""まもる""","""いわなだれ""","""アイアンヘッド""","""きんぞくおん""","""とっしん""","""ボディパージ""","""アイアンテール""","""てっぺき""","""ヘビーボンバー""","""すてみタックル""","""メタルバースト""","""あなをほる""","""いやなおと""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""メロメロ""","""すなあらし""","""あまごい""","""にほんばれ""","""からげんき""","""がんせきふうじ""","""すなじごく""","""ロックブラスト""","""シャドークロー""","""りんしょう""","""じならし""","""じだんだ""","""のしかかり""","""じしん""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""アイアンテール""","""さわぐ""","""ばかぢから""","""てっぺき""","""だいちのちから""","""アイアンヘッド""","""ストーンエッジ""","""ステルスロック""","""ヘビーボンバー""","""ボディプレス""","""ふみつけ""","""のろい""","""どろかけ""","""がむしゃら""","""ドラゴンダイブ""","""もろはのずつき""","""アイアンローラー""","""てっていこうせん""","""いあいぎり""","""かいりき""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""でんげきは""","""みずのはどう""","""しぜんのめぐみ""","""ロックカット""","""ゆうわく""","""つめとぎ""","""ないしょばなし""","""きつけ""","""ものまね""","""まるくなる""","""うらみ""","""ころがる""","""れんぞくぎり""","""げんしのちから""","""でんじふゆう""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""かたくなる""","""メタルクロー""","""がんせきふうじ""","""ほえる""","""ずつき""","""まもる""","""いわなだれ""","""アイアンヘッド""","""きんぞくおん""","""とっしん""","""ボディパージ""","""アイアンテール""","""てっぺき""","""ヘビーボンバー""","""すてみタックル""","""メタルバースト""","""メガトンパンチ""","""メガトンキック""","""ほのおのパンチ""","""れいとうパンチ""","""かみなりパンチ""","""はかいこうせん""","""ギガインパクト""","""ソーラービーム""","""でんじは""","""あなをほる""","""いやなおと""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""こわいかお""","""こごえるかぜ""","""メロメロ""","""すなあらし""","""あまごい""","""にほんばれ""","""うずしお""","""からげんき""","""かわらわり""","""がんせきふうじ""","""すなじごく""","""ロックブラスト""","""しっぺがえし""","""なげつける""","""ゆきなだれ""","""シャドークロー""","""りんしょう""","""じならし""","""スマートホーン""","""ぶんまわす""","""じだんだ""","""のしかかり""","""かえんほうしゃ""","""ハイドロポンプ""","""なみのり""","""れいとうビーム""","""ふぶき""","""けたぐり""","""10まんボルト""","""かみなり""","""じしん""","""だいもんじ""","""みがわり""","""きしかいせい""","""げきりん""","""こらえる""","""ねごと""","""アイアンテール""","""かみくだく""","""さわぐ""","""ちょうはつ""","""ばかぢから""","""てっぺき""","""ドラゴンクロー""","""あくのはどう""","""りゅうのはどう""","""きあいだま""","""だいちのちから""","""ラスターカノン""","""アイアンヘッド""","""ストーンエッジ""","""ステルスロック""","""ヘビーボンバー""","""10まんばりき""","""ボディプレス""","""ふみつけ""","""のろい""","""どろかけ""","""がむしゃら""","""ドラゴンダイブ""","""もろはのずつき""","""アイアンローラー""","""メテオビーム""","""てっていこうせん""","""いあいぎり""","""かいりき""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""でんげきは""","""みずのはどう""","""しぜんのめぐみ""","""ロックカット""","""ゆうわく""","""つめとぎ""","""ないしょばなし""","""きあいパンチ""","""ロッククライム""","""うちおとす""","""やきつくす""","""ドラゴンテール""","""グロウパンチ""","""きつけ""","""ものまね""","""まるくなる""","""うらみ""","""ころがる""","""れんぞくぎり""","""げんしのちから""","""でんじふゆう""","""カウンター""","""ちきゅうなげ""","""ばくれつパンチ""","""とおせんぼう""","""アクアテール""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ねんりき""","""ふるいたてる""","""みきり""","""こらえる""","""フェイント""","""はっけい""","""サイケこうせん""","""めいそう""","""しねんのずつき""","""とびひざげり""","""じこあんじ""","""つぼをつく""","""パワートリック""","""きしかいせい""","""じこさいせい""","""カウンター""","""とっしん""","""まもる""","""けたぐり""","""サイケこうせん""","""どろぼう""","""くさわけ""","""からげんき""","""つばめがえし""","""スピードスター""","""がんせきふうじ""","""ローキック""","""アシストパワー""","""ナイトヘッド""","""なげつける""","""こらえる""","""にほんばれ""","""あまごい""","""サイコショック""","""かわらわり""","""しねんのずつき""","""ビルドアップ""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""れいとうパンチ""","""ねごと""","""ドレインパンチ""","""リフレクター""","""ひかりのかべ""","""ゆびをふる""","""くさむすび""","""どくづき""","""ねむる""","""いわなだれ""","""ちょうはつ""","""ふういん""","""スキルスワップ""","""みがわり""","""トリック""","""シャドーボール""","""サイコキネシス""","""めいそう""","""てだすけ""","""バトンタッチ""","""きしかいせい""","""サイコフィールド""","""きあいだま""","""トリックルーム""","""インファイト""","""テラバースト""","""ほのおのパンチ""","""れいとうパンチ""","""かみなりパンチ""","""ばくれつパンチ""","""バトンタッチ""","""ねこだまし""","""パワースワップ""","""ガードスワップ""","""バレットパンチ""","""サイコカッター""","""ファストガード""","""はたく""","""ヨガのポーズ""","""がまん""","""こころのめ""","""いばる""","""めざめるパワー""","""かいりき""","""どくどく""","""かげぶんしん""","""ゆめくい""","""フラッシュ""","""メロメロ""","""おんがえし""","""やつあたり""","""いわくだき""","""きあいパンチ""","""リサイクル""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""テレキネシス""","""りんしょう""","""かたきうち""","""グロウパンチ""","""ないしょばなし""","""みやぶる""","""メガトンパンチ""","""メガトンキック""","""ずつき""","""すてみタックル""","""ちきゅうなげ""","""ものまね""","""いびき""","""どろかけ""","""いたみわけ""","""なりきり""","""マジックコート""","""シグナルビーム""","""じゅうりょく""","""しんくうは""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ほのおのパンチ""","""かみなりパンチ""","""れいとうパンチ""","""ねんりき""","""みきり""","""ふるいたてる""","""こらえる""","""フェイント""","""はっけい""","""サイケこうせん""","""めいそう""","""しねんのずつき""","""とびひざげり""","""じこあんじ""","""つぼをつく""","""パワートリック""","""じこさいせい""","""カウンター""","""かかとおとし""","""とっしん""","""まもる""","""けたぐり""","""サイケこうせん""","""どろぼう""","""くさわけ""","""からげんき""","""つばめがえし""","""スピードスター""","""がんせきふうじ""","""ローキック""","""アシストパワー""","""ナイトヘッド""","""なげつける""","""こらえる""","""にほんばれ""","""あまごい""","""サイコショック""","""かわらわり""","""しねんのずつき""","""ビルドアップ""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""れいとうパンチ""","""ねごと""","""ドレインパンチ""","""リフレクター""","""ひかりのかべ""","""ゆびをふる""","""くさむすび""","""どくづき""","""ねむる""","""いわなだれ""","""ちょうはつ""","""ふういん""","""スキルスワップ""","""みがわり""","""トリック""","""はどうだん""","""シャドーボール""","""エナジーボール""","""サイコキネシス""","""めいそう""","""てだすけ""","""バトンタッチ""","""きしかいせい""","""サイコフィールド""","""ギガインパクト""","""きあいだま""","""トリックルーム""","""はかいこうせん""","""インファイト""","""テラバースト""","""ほのおのパンチ""","""れいとうパンチ""","""かみなりパンチ""","""ばくれつパンチ""","""バトンタッチ""","""ねこだまし""","""パワースワップ""","""ガードスワップ""","""バレットパンチ""","""サイコカッター""","""ファストガード""","""はたく""","""ヨガのポーズ""","""がまん""","""こころのめ""","""いばる""","""めざめるパワー""","""かいりき""","""どくどく""","""かげぶんしん""","""ゆめくい""","""フラッシュ""","""メロメロ""","""おんがえし""","""やつあたり""","""いわくだき""","""きあいパンチ""","""リサイクル""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""テレキネシス""","""りんしょう""","""かたきうち""","""グロウパンチ""","""ないしょばなし""","""みやぶる""","""メガトンパンチ""","""メガトンキック""","""ずつき""","""すてみタックル""","""ちきゅうなげ""","""ものまね""","""いびき""","""どろかけ""","""いたみわけ""","""なりきり""","""マジックコート""","""シグナルビーム""","""じゅうりょく""","""しんくうは""","""とぎすます""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""でんじは""","""にらみつける""","""とおぼえ""","""でんこうせっか""","""でんげきは""","""かみつく""","""かみなりのキバ""","""ほえる""","""ほうでん""","""じゅうでん""","""ワイルドボルト""","""かみなり""","""でんじは""","""ひかりのかべ""","""ねむる""","""どろぼう""","""いびき""","""まもる""","""メロメロ""","""あまごい""","""からげんき""","""スピードスター""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""ボルトチェンジ""","""バークアウト""","""かいでんぱ""","""のしかかり""","""かえんほうしゃ""","""10まんボルト""","""かみなり""","""こうそくいどう""","""みがわり""","""こらえる""","""ねごと""","""アイアンテール""","""かみくだく""","""さわぐ""","""エレキボール""","""ワイルドボルト""","""サイコファング""","""ずつき""","""のろい""","""スパーク""","""すりかえ""","""ライジングボルト""","""かぎわける""","""かいりき""","""どくどく""","""かげぶんしん""","""フラッシュ""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""チャージビーム""","""ないしょばなし""","""はじけるほのお""","""すてみタックル""","""ものまね""","""どろかけ""","""シグナルビーム""","""でんじふゆう""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
